1,2.94,2.62,1.77,13.39,1.45,3.22,16.1,1195,93,0.34,2.85,0.92,4.8
3,0.75,2.48,3.91,13.4,1.41,1.56,23,750,102,0.43,1.8,0.7,7.3
1,2.68,2.12,3.84,13.41,1.48,3,18.8,1035,90,0.27,2.45,0.91,4.28
1,3,2.1,1.77,13.05,2.03,3.35,17,885,107,0.28,3,0.88,5.04
3,0.7,2.48,2.51,14.16,1.24,1.71,20,660,91,0.44,1.68,0.62,9.7
3,0.68,2.3,2.76,13.78,1.03,1.68,22,615,90,0.41,1.35,0.7,9.58
1,3.17,2.28,1.63,14.06,2.1,3.71,16,780,126,0.24,3,1.09,5.65
1,3.04,2.51,3.99,14.22,2.08,3.53,13.2,760,128,0.2,3,0.89,5.1
2,3.75,2.1,1.07,12.37,1.95,2.77,18.5,660,88,0.24,3.52,1.04,4.5
2,1.69,2.46,2.06,11.64,1.35,2.75,21.6,680,84,0.48,1.95,1,2.8
2,2.27,2.17,2.43,12.52,1.22,2.78,21,325,88,0.26,2.55,0.9,2
3,0.34,2.23,5.04,13.88,0.68,1.33,20,415,80,0.4,0.98,0.58,4.9
1,3.19,2.36,1.66,13.58,1.95,2.88,19.1,1515,106,0.22,2.86,1.09,6.9
2,1.36,1.9,1.34,12.6,1.35,2.77,18.5,562,88,0.29,1.45,1.04,2.45
2,1.58,2.51,1.13,12.08,1.4,2.72,24,630,78,0.4,2,1.31,2.2
1,2.98,2.41,1.81,13.48,1.86,3.47,20.5,920,100,0.26,2.7,1.04,5.1
2,2.11,2.46,2.45,12.34,1.31,3.38,21,438,98,0.34,2.56,0.8,2.8
3,0.8,2.35,4.95,13.62,1.02,2.05,20,550,92,0.47,2,0.91,4.4
1,2.79,2.68,1.9,13.77,1.68,2.93,17.1,1375,115,0.39,3,1.13,6.3
3,0.68,2.37,2.59,13.17,1.46,1.62,20,840,120,0.53,1.65,0.6,9.3
2,1.84,2.27,2.55,12.42,1.42,3.3,22,315,90,0.66,1.68,0.86,2.7
1,2.69,2.36,1.83,13.68,1.97,2.87,17.2,990,104,0.42,2.42,1.23,3.84
1,2.69,2.87,2.59,13.24,1.82,2.93,21,735,118,0.39,2.8,1.04,4.32
1,3.27,2.04,1.73,13.05,2.91,2.91,12.4,1150,92,0.17,2.72,1.12,7.2
2,1.09,2.28,1.1,12.33,0.41,1.67,16,680,101,0.63,2.05,1.25,3.27
3,0.47,2.54,4.72,12.25,0.8,1.27,21,720,89,0.53,1.38,0.75,3.85
2,1.64,2,3.43,12,1.87,3.05,19,564,87,0.37,2,0.93,1.28
1,3.39,2.12,1.68,13.9,2.14,3.33,16,985,101,0.21,3.1,0.91,6.1
3,0.92,2.6,3.7,13.45,1.46,1.56,23,695,111,0.43,1.7,0.85,10.68
2,1.69,2.31,1.61,12.16,1.56,2.26,22.8,495,90,0.43,1.78,1.33,2.45
1,3.64,2.38,1.87,14.38,2.96,3,12,1547,102,0.29,3.3,1.2,7.5
2,1.76,2.28,1.75,12.72,1.63,2.42,22.5,488,84,0.48,1.38,0.88,3.3
3,0.51,2.28,2.39,12.77,0.64,1.63,19.5,470,86,0.48,1.39,0.57,9.899999
3,0.58,2.1,1.29,12.58,1.4,1.55,20,640,103,0.53,1.48,0.58,7.6
3,0.83,2.28,3.3,13.23,1.87,1.51,18.5,675,98,0.61,1.8,0.56,10.52
1,2.61,2.61,1.81,13.5,1.66,3.82,20,845,96,0.28,2.53,1.12,3.52
1,2.68,2.84,1.64,13.28,1.36,2.78,15.5,880,110,0.34,2.6,1.09,4.6
2,2.21,2.58,0.89,11.84,2.35,3.08,18,520,94,0.22,2.2,0.79,3.05
3,0.58,2.25,1.24,12.51,1.25,1.51,17.5,650,85,0.6,2,0.75,5.45
3,0.76,2.38,3.24,13.32,1.25,1.62,21.5,650,92,0.45,1.93,0.55,8.42
2,1.79,1.92,1.25,13.67,0.73,2.46,18,630,94,0.32,2.1,1.23,3.8
3,0.48,2.19,3.59,13.49,0.88,1.82,19.5,580,88,0.58,1.62,0.81,5.7
1,2.97,2.8,1.9,13.87,1.76,3.4,19.4,915,107,0.37,2.95,1.25,4.5
2,1.59,2.3,1.33,12.08,1.38,3.21,23.6,625,70,0.42,2.2,1.07,1.74
2,2.03,2.92,2.68,11.76,1.05,2.5,20,607,103,0.6,1.75,1.23,3.8
3,1.28,2.75,1.9,13.11,1.56,1.33,25.5,425,116,0.26,2.2,0.61,7.1
3,0.66,2.2,2.46,12.6,0.94,1.58,18.5,695,94,0.63,1.62,0.73,7.1
2,5.08,3.23,2.05,11.56,1.87,3.69,28.5,465,119,0.47,3.18,0.93,6
1,2.52,2.45,1.87,14.39,1.98,3.58,14.6,1290,96,0.3,2.5,1.02,5.25
1,2.98,2.17,1.64,14.83,1.98,2.85,14,1045,97,0.29,2.8,1.08,5.2
2,2.17,2.2,1.51,11.03,2.01,2.87,21.5,407,85,0.52,2.46,1.71,1.9
